Product-ID,MAE,RMSE,Test_Weekly_Average_Sales,Test_Total_Sales
FOODS_3_069_TX_3_validation,1.18,2.16,1,33
FOODS_3_070_TX_3_validation,3.82,5.4,5,128
FOODS_3_071_TX_3_validation,2.68,3.2,4,123
FOODS_3_072_TX_3_validation,1.32,1.61,1,27
FOODS_3_073_TX_3_validation,2.43,3.96,2,58
FOODS_3_074_TX_3_validation,1.11,1.86,1,32
FOODS_3_075_TX_3_validation,0.57,0.89,1,16
FOODS_3_076_TX_3_validation,3.04,3.75,7,193
FOODS_3_077_TX_3_validation,1.43,1.79,3,82
FOODS_3_078_TX_3_validation,0.14,0.46,0,4
FOODS_3_079_TX_3_validation,2.32,2.58,3,97
FOODS_3_080_TX_3_validation,3.14,3.97,11,305
FOODS_3_081_TX_3_validation,0.5,0.76,0,4
FOODS_3_082_TX_3_validation,0.14,0.38,0,3
FOODS_3_083_TX_3_validation,0.68,0.82,0,13
FOODS_3_084_TX_3_validation,0.79,1.16,1,27
FOODS_3_085_TX_3_validation,0.46,0.68,1,17
FOODS_3_086_TX_3_validation,9.04,13.22,13,355
FOODS_3_087_TX_3_validation,3.07,3.36,1,29
FOODS_3_088_TX_3_validation,0.25,0.73,0,7
FOODS_3_089_TX_3_validation,1.39,1.82,2,58
FOODS_3_090_TX_3_validation,25.61,29.35,64,1799
FOODS_3_091_TX_3_validation,0.71,0.85,0,12
FOODS_3_092_TX_3_validation,0.82,0.91,0,2
FOODS_3_093_TX_3_validation,2.36,2.7,2,56
FOODS_3_094_TX_3_validation,0.93,1.0,0,4
FOODS_3_095_TX_3_validation,0.36,0.89,0,10
FOODS_3_096_TX_3_validation,0.64,0.89,0,14
FOODS_3_097_TX_3_validation,1.46,1.92,2,70
FOODS_3_098_TX_3_validation,1.07,1.41,1,30
FOODS_3_099_TX_3_validation,5.79,6.56,4,113
FOODS_3_100_TX_3_validation,0.82,1.05,1,21
FOODS_3_101_TX_3_validation,1.14,1.41,3,77
FOODS_3_102_TX_3_validation,1.11,1.82,1,16
FOODS_3_103_TX_3_validation,0.71,1.1,1,28
FOODS_3_104_TX_3_validation,0.89,1.21,1,29
FOODS_3_105_TX_3_validation,0.39,0.78,0,11
FOODS_3_106_TX_3_validation,1.64,2.05,2,55
FOODS_3_107_TX_3_validation,1.21,1.49,2,42
FOODS_3_108_TX_3_validation,0.89,1.24,1,34
FOODS_3_109_TX_3_validation,4.75,5.67,9,239
FOODS_3_110_TX_3_validation,0.75,0.87,0,9
FOODS_3_111_TX_3_validation,0.86,0.96,0,12
FOODS_3_112_TX_3_validation,1.04,1.7,2,47
FOODS_3_113_TX_3_validation,1.57,2.15,2,62
FOODS_3_114_TX_3_validation,0.71,1.0,1,34
FOODS_3_115_TX_3_validation,1.18,1.72,2,44
FOODS_3_116_TX_3_validation,1.29,1.73,1,37
FOODS_3_117_TX_3_validation,3.43,4.18,11,317
FOODS_3_118_TX_3_validation,1.89,2.57,2,70
FOODS_3_119_TX_3_validation,0.96,0.98,0,1
FOODS_3_120_TX_3_validation,20.14,22.67,15,409
FOODS_3_121_TX_3_validation,1.64,1.81,1,24
FOODS_3_122_TX_3_validation,0.93,1.22,1,28
FOODS_3_123_TX_3_validation,0.14,0.46,0,4
FOODS_3_124_TX_3_validation,3.25,3.97,4,122
FOODS_3_125_TX_3_validation,0.86,0.93,0,4
FOODS_3_126_TX_3_validation,2.04,2.63,3,88
FOODS_3_127_TX_3_validation,0.75,1.18,1,26
FOODS_3_128_TX_3_validation,0.25,0.57,0,5
FOODS_3_129_TX_3_validation,1.0,1.16,1,16
FOODS_3_130_TX_3_validation,0.93,1.54,1,34
FOODS_3_131_TX_3_validation,1.71,2.04,2,65
FOODS_3_132_TX_3_validation,1.36,1.83,2,47
FOODS_3_133_TX_3_validation,2.68,3.88,6,162
FOODS_3_134_TX_3_validation,2.04,2.75,3,72
FOODS_3_135_TX_3_validation,4.25,5.19,9,258
FOODS_3_136_TX_3_validation,4.0,4.73,11,314
FOODS_3_137_TX_3_validation,0.21,0.71,0,6
FOODS_3_138_TX_3_validation,1.14,1.77,2,54
FOODS_3_139_TX_3_validation,0.79,0.96,1,17
FOODS_3_140_TX_3_validation,0.68,1.05,1,30
FOODS_3_141_TX_3_validation,0.29,0.6,0,5
FOODS_3_142_TX_3_validation,0.36,0.71,0,10
FOODS_3_143_TX_3_validation,0.79,0.96,1,18
FOODS_3_144_TX_3_validation,1.0,1.46,2,48
FOODS_3_145_TX_3_validation,0.43,0.8,0,12
FOODS_3_146_TX_3_validation,1.86,2.42,4,126
FOODS_3_147_TX_3_validation,2.64,4.47,3,74
FOODS_3_148_TX_3_validation,1.54,2.1,1,34
FOODS_3_149_TX_3_validation,0.82,0.91,0,13
FOODS_3_150_TX_3_validation,8.75,10.37,22,626
FOODS_3_151_TX_3_validation,3.11,3.84,5,147
FOODS_3_152_TX_3_validation,1.75,1.92,1,25
FOODS_3_153_TX_3_validation,1.14,1.46,1,33
FOODS_3_154_TX_3_validation,3.86,4.45,6,177
FOODS_3_155_TX_3_validation,0.68,0.82,0,7
FOODS_3_156_TX_3_validation,1.18,1.97,2,42
FOODS_3_157_TX_3_validation,1.0,1.54,1,40
FOODS_3_158_TX_3_validation,0.25,0.57,0,7
FOODS_3_159_TX_3_validation,0.68,0.82,1,15
FOODS_3_160_TX_3_validation,0.18,0.5,0,5
FOODS_3_161_TX_3_validation,0.43,0.65,0,12
FOODS_3_162_TX_3_validation,0.14,0.38,0,4
FOODS_3_163_TX_3_validation,1.11,1.48,1,38
FOODS_3_164_TX_3_validation,0.21,0.53,0,6
FOODS_3_165_TX_3_validation,0.21,0.53,0,6
FOODS_3_166_TX_3_validation,0.75,1.24,1,37
FOODS_3_167_TX_3_validation,0.93,1.2,2,43
FOODS_3_168_TX_3_validation,0.75,0.94,1,16
FOODS_3_169_TX_3_validation,0.96,1.24,2,49
FOODS_3_170_TX_3_validation,0.71,0.85,0,10
FOODS_3_171_TX_3_validation,0.04,0.19,0,1
FOODS_3_172_TX_3_validation,1.39,1.68,2,63
FOODS_3_173_TX_3_validation,0.25,0.5,0,7
FOODS_3_174_TX_3_validation,1.11,1.27,1,29
FOODS_3_175_TX_3_validation,0.07,0.27,0,2
FOODS_3_176_TX_3_validation,1.04,1.21,1,23
FOODS_3_177_TX_3_validation,0.32,0.63,0,9
FOODS_3_178_TX_3_validation,1.71,2.1,3,91
FOODS_3_179_TX_3_validation,0.39,0.68,0,11
FOODS_3_180_TX_3_validation,0.14,0.38,0,4
FOODS_3_181_TX_3_validation,1.25,1.7,1,37
FOODS_3_182_TX_3_validation,0.61,0.82,0,3
FOODS_3_183_TX_3_validation,1.61,1.7,0,13
FOODS_3_184_TX_3_validation,0.79,1.25,1,36
FOODS_3_185_TX_3_validation,2.32,2.9,4,122
FOODS_3_186_TX_3_validation,0.68,1.09,1,22
FOODS_3_187_TX_3_validation,0.5,0.76,0,3
FOODS_3_188_TX_3_validation,0.14,0.46,0,4
FOODS_3_189_TX_3_validation,0.11,0.42,0,3
FOODS_3_190_TX_3_validation,1.46,2.1,2,59
FOODS_3_191_TX_3_validation,1.07,1.39,2,46
FOODS_3_192_TX_3_validation,0.93,1.04,0,14
FOODS_3_193_TX_3_validation,0.29,0.65,0,8
FOODS_3_194_TX_3_validation,0.32,0.57,0,6
FOODS_3_195_TX_3_validation,0.82,1.4,0,11
FOODS_3_196_TX_3_validation,0.54,0.73,1,15
FOODS_3_197_TX_3_validation,0.25,0.63,0,7
FOODS_3_198_TX_3_validation,0.14,0.46,0,4
FOODS_3_199_TX_3_validation,0.21,0.6,0,6
FOODS_3_200_TX_3_validation,1.04,1.4,2,51
FOODS_3_201_TX_3_validation,1.75,2.01,1,19
FOODS_3_202_TX_3_validation,8.39,9.94,32,892
FOODS_3_203_TX_3_validation,0.86,1.65,1,21
FOODS_3_204_TX_3_validation,0.29,0.6,0,8
FOODS_3_205_TX_3_validation,1.25,1.45,1,29
FOODS_3_206_TX_3_validation,1.11,1.38,1,33
FOODS_3_207_TX_3_validation,0.54,0.82,0,12
FOODS_3_208_TX_3_validation,0.93,1.36,1,22
FOODS_3_209_TX_3_validation,0.32,0.63,0,9
FOODS_3_210_TX_3_validation,0.29,0.53,0,8
FOODS_3_211_TX_3_validation,0.93,1.25,1,23
FOODS_3_212_TX_3_validation,0.5,0.71,0,11
FOODS_3_213_TX_3_validation,1.07,1.39,1,32
FOODS_3_214_TX_3_validation,0.82,1.72,1,21
FOODS_3_215_TX_3_validation,1.71,2.0,3,79
FOODS_3_216_TX_3_validation,0.21,0.46,0,6
FOODS_3_217_TX_3_validation,0.71,0.93,1,15
FOODS_3_218_TX_3_validation,0.46,0.94,0,13
FOODS_3_219_TX_3_validation,0.82,1.72,1,19
FOODS_3_220_TX_3_validation,0.04,0.19,0,1
FOODS_3_221_TX_3_validation,0.54,0.98,1,15
FOODS_3_222_TX_3_validation,0.82,0.94,0,9
FOODS_3_223_TX_3_validation,0.14,0.46,0,4
FOODS_3_224_TX_3_validation,1.14,1.44,1,35
FOODS_3_225_TX_3_validation,0.79,0.96,1,19
FOODS_3_226_TX_3_validation,3.36,4.27,14,389
FOODS_3_227_TX_3_validation,4.71,5.69,12,322
FOODS_3_228_TX_3_validation,2.0,2.65,7,199
FOODS_3_229_TX_3_validation,0.75,0.94,1,27
FOODS_3_230_TX_3_validation,1.96,2.44,4,104
FOODS_3_231_TX_3_validation,2.82,3.55,3,97
FOODS_3_232_TX_3_validation,1.11,1.74,1,34
FOODS_3_233_TX_3_validation,3.39,4.26,3,82
FOODS_3_234_TX_3_validation,10.71,15.56,15,425
FOODS_3_235_TX_3_validation,0.07,0.27,0,2
FOODS_3_236_TX_3_validation,0.96,1.35,1,18
FOODS_3_237_TX_3_validation,4.57,5.35,1,37
FOODS_3_238_TX_3_validation,1.57,2.27,2,60
FOODS_3_239_TX_3_validation,0.68,1.02,1,21
FOODS_3_240_TX_3_validation,0.79,0.93,1,16
FOODS_3_241_TX_3_validation,0.82,1.12,1,24
FOODS_3_242_TX_3_validation,0.61,0.82,0,11
FOODS_3_243_TX_3_validation,1.29,1.6,1,38
FOODS_3_244_TX_3_validation,0.11,0.42,0,3
FOODS_3_245_TX_3_validation,3.57,4.62,6,164
FOODS_3_246_TX_3_validation,0.82,1.09,1,29
FOODS_3_247_TX_3_validation,0.43,0.85,0,12
FOODS_3_248_TX_3_validation,0.61,0.82,1,17
FOODS_3_249_TX_3_validation,1.29,1.77,2,48
FOODS_3_250_TX_3_validation,1.29,1.44,1,30
FOODS_3_251_TX_3_validation,0.96,1.48,1,27
FOODS_3_252_TX_3_validation,15.68,19.66,51,1440
FOODS_3_253_TX_3_validation,0.93,1.16,1,34
FOODS_3_254_TX_3_validation,0.96,1.27,1,15
FOODS_3_255_TX_3_validation,0.82,0.94,0,9
FOODS_3_256_TX_3_validation,0.11,0.33,0,3
FOODS_3_257_TX_3_validation,0.96,1.45,1,40
FOODS_3_258_TX_3_validation,1.86,2.52,3,97
FOODS_3_259_TX_3_validation,1.75,2.28,3,91
FOODS_3_260_TX_3_validation,0.04,0.19,0,1
FOODS_3_261_TX_3_validation,0.93,1.28,1,40
FOODS_3_262_TX_3_validation,0.32,0.63,0,9
FOODS_3_263_TX_3_validation,2.07,2.56,8,212
FOODS_3_264_TX_3_validation,0.32,0.63,0,9
FOODS_3_265_TX_3_validation,0.96,1.24,1,19
FOODS_3_266_TX_3_validation,0.57,1.16,1,16
FOODS_3_267_TX_3_validation,1.32,1.55,1,33
FOODS_3_268_TX_3_validation,0.46,0.91,0,13
FOODS_3_269_TX_3_validation,0.57,0.93,1,17
FOODS_3_270_TX_3_validation,0.07,0.27,0,2
FOODS_3_271_TX_3_validation,1.0,1.28,1,21
FOODS_3_272_TX_3_validation,0.46,0.73,0,13
FOODS_3_273_TX_3_validation,0.61,0.98,0,13
FOODS_3_274_TX_3_validation,0.25,0.57,0,9
FOODS_3_275_TX_3_validation,0.75,0.98,1,29
FOODS_3_276_TX_3_validation,1.36,1.81,1,20
FOODS_3_277_TX_3_validation,1.39,1.74,2,70
FOODS_3_278_TX_3_validation,1.64,1.96,2,50
FOODS_3_279_TX_3_validation,0.14,0.38,0,4
FOODS_3_280_TX_3_validation,0.25,0.57,0,7
FOODS_3_281_TX_3_validation,2.75,3.45,5,137
FOODS_3_282_TX_3_validation,9.29,10.16,3,80
FOODS_3_283_TX_3_validation,0.82,1.09,1,22
FOODS_3_284_TX_3_validation,0.43,0.85,0,12
FOODS_3_285_TX_3_validation,0.64,0.89,1,20
FOODS_3_286_TX_3_validation,0.86,0.93,0,10
FOODS_3_287_TX_3_validation,0.46,0.73,0,13
FOODS_3_288_TX_3_validation,3.0,3.56,6,156
FOODS_3_289_TX_3_validation,0.18,0.42,0,5
FOODS_3_290_TX_3_validation,1.43,2.02,2,70
FOODS_3_291_TX_3_validation,1.93,2.15,1,17
FOODS_3_292_TX_3_validation,2.68,2.86,1,28
FOODS_3_293_TX_3_validation,0.29,0.53,0,8
FOODS_3_294_TX_3_validation,0.21,0.46,0,2
FOODS_3_295_TX_3_validation,9.96,15.68,15,421
FOODS_3_296_TX_3_validation,0.96,0.98,0,1
FOODS_3_297_TX_3_validation,0.75,0.87,0,13
FOODS_3_298_TX_3_validation,0.11,0.33,0,3
FOODS_3_299_TX_3_validation,1.11,1.48,2,57
FOODS_3_300_TX_3_validation,1.71,2.31,3,81
FOODS_3_301_TX_3_validation,0.57,0.8,1,20
FOODS_3_302_TX_3_validation,1.36,2.0,2,59
FOODS_3_303_TX_3_validation,0.54,0.82,0,12
FOODS_3_304_TX_3_validation,0.79,1.1,1,40
FOODS_3_305_TX_3_validation,1.64,2.1,2,45
FOODS_3_306_TX_3_validation,1.82,2.15,2,48
FOODS_3_307_TX_3_validation,1.25,1.92,3,73
FOODS_3_308_TX_3_validation,0.86,1.07,1,25
FOODS_3_309_TX_3_validation,0.25,0.57,0,7
FOODS_3_310_TX_3_validation,0.89,1.12,1,19
FOODS_3_311_TX_3_validation,0.71,0.85,1,17
FOODS_3_312_TX_3_validation,0.11,0.33,0,3
FOODS_3_313_TX_3_validation,5.18,6.66,13,351
FOODS_3_314_TX_3_validation,0.14,0.46,0,4
FOODS_3_315_TX_3_validation,0.04,0.19,0,1
FOODS_3_316_TX_3_validation,0.07,0.27,0,2
FOODS_3_317_TX_3_validation,1.36,1.81,1,26
FOODS_3_318_TX_3_validation,2.75,3.63,8,215
FOODS_3_319_TX_3_validation,11.18,12.77,5,137
FOODS_3_320_TX_3_validation,0.25,0.57,0,7
FOODS_3_321_TX_3_validation,3.36,4.04,6,182
FOODS_3_322_TX_3_validation,0.89,1.18,1,19
FOODS_3_323_TX_3_validation,0.36,0.71,0,10
FOODS_3_324_TX_3_validation,1.54,2.24,3,83
FOODS_3_325_TX_3_validation,0.14,0.46,0,4
FOODS_3_326_TX_3_validation,1.29,2.07,1,36
FOODS_3_327_TX_3_validation,1.82,2.34,1,34
FOODS_3_328_TX_3_validation,0.04,0.19,0,1
FOODS_3_329_TX_3_validation,7.68,8.99,5,135
FOODS_3_330_TX_3_validation,1.39,1.7,2,63
FOODS_3_331_TX_3_validation,1.11,1.43,1,36
FOODS_3_332_TX_3_validation,1.5,1.98,2,67
FOODS_3_333_TX_3_validation,5.89,6.13,2,60
FOODS_3_334_TX_3_validation,0.64,0.85,1,23
FOODS_3_335_TX_3_validation,0.36,0.76,0,4
FOODS_3_336_TX_3_validation,0.79,0.93,1,18
FOODS_3_337_TX_3_validation,0.25,0.5,0,7
FOODS_3_338_TX_3_validation,0.46,1.27,0,13
FOODS_3_339_TX_3_validation,1.82,2.57,2,58
FOODS_3_340_TX_3_validation,0.89,1.24,1,21
FOODS_3_341_TX_3_validation,0.54,0.94,1,15
FOODS_3_342_TX_3_validation,2.11,2.77,5,131
FOODS_3_343_TX_3_validation,0.07,0.27,0,2
FOODS_3_344_TX_3_validation,1.36,1.51,2,42
FOODS_3_345_TX_3_validation,0.39,0.98,0,11
FOODS_3_346_TX_3_validation,1.57,1.85,2,67
FOODS_3_347_TX_3_validation,1.54,1.76,2,59
FOODS_3_348_TX_3_validation,4.21,5.15,7,194
FOODS_3_349_TX_3_validation,5.68,6.52,10,266
FOODS_3_350_TX_3_validation,0.11,0.42,0,3
FOODS_3_351_TX_3_validation,1.64,2.0,2,65
FOODS_3_352_TX_3_validation,0.68,1.09,1,19
FOODS_3_353_TX_3_validation,0.79,0.96,1,26
FOODS_3_354_TX_3_validation,0.32,0.68,0,9
FOODS_3_355_TX_3_validation,1.07,1.56,1,41
FOODS_3_356_TX_3_validation,0.96,0.98,0,5
FOODS_3_357_TX_3_validation,0.14,0.38,0,4
FOODS_3_358_TX_3_validation,0.07,0.27,0,2
FOODS_3_359_TX_3_validation,0.29,0.71,0,8
FOODS_3_360_TX_3_validation,0.89,1.02,1,19
FOODS_3_361_TX_3_validation,1.39,2.04,2,52
FOODS_3_362_TX_3_validation,5.36,8.58,5,145
FOODS_3_363_TX_3_validation,5.68,7.18,7,199
FOODS_3_364_TX_3_validation,0.21,0.53,0,6
FOODS_3_365_TX_3_validation,0.25,0.57,0,7
FOODS_3_366_TX_3_validation,0.75,1.15,1,21
FOODS_3_367_TX_3_validation,1.39,2.15,2,43
FOODS_3_368_TX_3_validation,1.96,2.38,3,89
FOODS_3_369_TX_3_validation,0.96,1.43,1,35
FOODS_3_370_TX_3_validation,4.46,5.43,11,304
FOODS_3_371_TX_3_validation,1.11,1.43,1,29
FOODS_3_372_TX_3_validation,2.21,2.95,6,182
FOODS_3_373_TX_3_validation,0.86,0.93,0,10
FOODS_3_374_TX_3_validation,0.21,0.46,0,6
FOODS_3_375_TX_3_validation,0.32,0.57,0,9
FOODS_3_376_TX_3_validation,8.46,10.5,15,426
FOODS_3_377_TX_3_validation,8.07,10.27,42,1168
FOODS_3_378_TX_3_validation,0.96,0.98,0,3
FOODS_3_379_TX_3_validation,0.86,1.6,1,24
FOODS_3_380_TX_3_validation,0.36,0.65,0,10
FOODS_3_381_TX_3_validation,2.0,2.93,3,95
FOODS_3_382_TX_3_validation,1.5,1.73,2,62
FOODS_3_383_TX_3_validation,1.39,1.97,1,35
FOODS_3_384_TX_3_validation,0.86,0.93,0,12
FOODS_3_385_TX_3_validation,0.79,0.93,0,9
FOODS_3_386_TX_3_validation,0.25,0.63,0,7
FOODS_3_387_TX_3_validation,0.86,0.96,0,10
FOODS_3_388_TX_3_validation,0.86,1.16,1,38
FOODS_3_389_TX_3_validation,5.29,6.28,15,433
FOODS_3_390_TX_3_validation,1.29,1.46,0,9
FOODS_3_391_TX_3_validation,0.29,0.6,0,8
FOODS_3_392_TX_3_validation,0.57,0.8,1,19
FOODS_3_393_TX_3_validation,3.39,3.97,2,46
FOODS_3_394_TX_3_validation,0.21,0.53,0,6
FOODS_3_395_TX_3_validation,0.5,0.76,0,14
FOODS_3_396_TX_3_validation,0.21,0.46,0,6
FOODS_3_397_TX_3_validation,0.21,0.53,0,6
FOODS_3_398_TX_3_validation,0.75,0.98,1,19
FOODS_3_399_TX_3_validation,4.82,5.05,1,39
FOODS_3_400_TX_3_validation,0.75,0.91,0,12
FOODS_3_401_TX_3_validation,0.32,0.63,0,9
FOODS_3_402_TX_3_validation,0.21,0.65,0,6
FOODS_3_403_TX_3_validation,1.14,1.63,2,68
FOODS_3_404_TX_3_validation,9.43,11.34,15,424
FOODS_3_405_TX_3_validation,1.0,1.04,0,6
FOODS_3_406_TX_3_validation,3.82,4.85,6,178
FOODS_3_407_TX_3_validation,1.0,1.34,2,53
FOODS_3_408_TX_3_validation,0.07,0.27,0,2
FOODS_3_409_TX_3_validation,0.71,0.85,0,12
FOODS_3_410_TX_3_validation,0.36,0.65,0,10
FOODS_3_411_TX_3_validation,0.68,1.05,1,23
FOODS_3_412_TX_3_validation,4.43,5.04,3,95
FOODS_3_413_TX_3_validation,2.11,2.32,1,19
FOODS_3_414_TX_3_validation,0.89,1.02,0,13
FOODS_3_415_TX_3_validation,0.89,1.43,1,19
FOODS_3_416_TX_3_validation,0.64,0.8,0,14
FOODS_3_417_TX_3_validation,0.82,0.91,0,5
FOODS_3_418_TX_3_validation,0.86,1.07,1,35
FOODS_3_419_TX_3_validation,1.32,1.5,1,31
FOODS_3_420_TX_3_validation,1.11,1.3,1,30
FOODS_3_421_TX_3_validation,0.18,0.42,0,5
FOODS_3_422_TX_3_validation,1.57,1.85,2,47
FOODS_3_423_TX_3_validation,1.82,2.04,1,18
FOODS_3_424_TX_3_validation,1.04,1.15,0,5
FOODS_3_425_TX_3_validation,0.43,0.8,0,12
FOODS_3_426_TX_3_validation,0.82,0.91,0,11
FOODS_3_427_TX_3_validation,0.39,0.73,0,11
FOODS_3_428_TX_3_validation,0.96,1.02,0,7
FOODS_3_429_TX_3_validation,0.64,0.85,1,24
FOODS_3_430_TX_3_validation,0.36,0.8,0,10
FOODS_3_431_TX_3_validation,1.32,1.76,2,44
FOODS_3_432_TX_3_validation,1.61,1.95,2,52
FOODS_3_433_TX_3_validation,0.79,0.93,1,24
FOODS_3_434_TX_3_validation,0.79,0.93,1,15
FOODS_3_435_TX_3_validation,1.32,1.74,2,49
FOODS_3_436_TX_3_validation,0.36,0.6,0,10
FOODS_3_437_TX_3_validation,1.36,1.67,2,56
FOODS_3_438_TX_3_validation,1.75,2.34,2,59
FOODS_3_439_TX_3_validation,0.93,1.2,1,40
FOODS_3_440_TX_3_validation,0.14,0.38,0,4
FOODS_3_441_TX_3_validation,0.54,2.34,1,15
FOODS_3_442_TX_3_validation,0.75,0.87,0,11
FOODS_3_443_TX_3_validation,0.36,0.76,0,10
FOODS_3_444_TX_3_validation,21.46,23.2,23,653
FOODS_3_445_TX_3_validation,0.32,0.68,0,9
FOODS_3_446_TX_3_validation,1.5,2.1,2,45
FOODS_3_447_TX_3_validation,0.79,1.07,1,22
FOODS_3_448_TX_3_validation,1.57,1.95,2,59
FOODS_3_449_TX_3_validation,1.21,1.46,3,95
FOODS_3_450_TX_3_validation,0.93,1.22,1,31
FOODS_3_451_TX_3_validation,5.64,7.86,7,195
FOODS_3_452_TX_3_validation,0.14,0.46,0,4
FOODS_3_453_TX_3_validation,0.14,0.38,0,4
FOODS_3_454_TX_3_validation,3.57,7.29,4,114
FOODS_3_455_TX_3_validation,7.96,10.63,18,493
FOODS_3_456_TX_3_validation,0.43,0.65,0,12
FOODS_3_457_TX_3_validation,0.54,0.94,1,15
FOODS_3_458_TX_3_validation,3.11,3.84,9,257
FOODS_3_459_TX_3_validation,2.14,2.48,2,66
FOODS_3_460_TX_3_validation,1.07,1.28,1,40
FOODS_3_461_TX_3_validation,4.18,5.15,7,196
FOODS_3_462_TX_3_validation,6.68,8.62,12,329
FOODS_3_463_TX_3_validation,0.39,0.68,0,12
FOODS_3_464_TX_3_validation,0.61,1.02,1,15
FOODS_3_465_TX_3_validation,0.39,0.78,0,11
FOODS_3_466_TX_3_validation,0.57,0.89,1,16
FOODS_3_467_TX_3_validation,0.86,0.96,0,14
FOODS_3_468_TX_3_validation,1.07,1.39,1,40
FOODS_3_469_TX_3_validation,1.68,2.18,3,79
FOODS_3_470_TX_3_validation,0.61,1.12,0,13
FOODS_3_471_TX_3_validation,0.68,0.98,1,19
FOODS_3_472_TX_3_validation,0.21,0.6,0,6
FOODS_3_473_TX_3_validation,2.39,3.02,5,142
FOODS_3_474_TX_3_validation,2.89,3.66,5,136
FOODS_3_475_TX_3_validation,1.25,1.72,2,45
FOODS_3_476_TX_3_validation,3.21,3.86,4,100
FOODS_3_477_TX_3_validation,3.25,3.84,4,124
FOODS_3_478_TX_3_validation,0.89,1.57,1,29
FOODS_3_479_TX_3_validation,1.46,1.68,1,37
FOODS_3_480_TX_3_validation,0.79,0.89,0,3
